Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
18-20 years,Male,Single,Educational Technology ,Public,College,Secondary School,Business,Housewife,"56000-60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Business,Yes,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Educational Technology ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,Rental,11-14 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Educational technology ,Public,Secondary School,Primary School,Business,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
18-20 years,Female,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,Others,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Ed-tech,Public,Primary School,Primary School,Private Job,Private Job,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,6-10Hour,No,No,60%-79% classes,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Always,3.00 - 3.24
21-23 years,Female,Single,Educational Technology Department ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"<25,000Tk",No Siblings,Died-one of them or both,Country Town,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
18-20 years,Male,Single,Educational Technology ,Public,Primary School,Secondary School,Business,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Others,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
18-20 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Housewife,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,Ed-tech ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Educational Technology ,Public,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
18-20 years,Male,Single,Educational Technology ,Public,Primary School,Secondary School,Business,Business,"26,000-40,000TK",2,Divorced,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,Educational technology ,Public,M.Sc/M.A.,Ph.D.,Business,Govt. Service,">60,000",No Siblings,Divorced,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,No,No,Tution,No,Never,3.50 - 3.74
18-20 years,Male,Single,Educational technology ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Educational Technology ,Public,Primary School,Primary School,Self-employed,Housewife,"<25,000Tk",3 or above,Died-one of them or both,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,11-14 Hour,Yes,Yes,60%-79% classes,Group study,Regular study during the semester,Always,Yes,Yes,Business,No,Sometimes,3.00 - 3.24
18-20 years,Male,Single,Educational Technology,Public,M.Sc/M.A.,Secondary School,Private Job,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Edtech,Others,Secondary School,Secondary School,Business,Housewife,"<25,000Tk",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Always,3.50 - 3.74
21-23 years,Female,Single,IRE,Public,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
18-20 years,Female,Single,Educational Technology ,Public,College,College,Self-employed,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,No,Yes,60%-79% classes,Group study,Regular study during the semester,Always,No,No,Tution,No,Never,3.25 - 3.49
18-20 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,College,Govt. Service,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,2-5 Hour,No,No,More than 80%class,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,3.25 - 3.49
21-23 years,Male,Single,Educational Technology ,Public,Secondary School,College,Business,Housewife,"<25,000Tk",No Siblings,Died-one of them or both,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,More than 15 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,CSE,Private,College,Secondary School,Self-employed,Housewife,"<25,000Tk",1,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,Yes,Sometimes,3.25 - 3.49
24-26 years,Male,Single,Agriculture ,Private,College,B.A./B.Sc./Hons/Degree,Business,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,No,More than 80%class,Group study,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Married,Botany,Others,College,Secondary School,Self-employed,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,6-10Hour,No,Yes,Less than 60% classes,Group study,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,3.00 - 3.24
21-23 years,Male,Single,Educational Technology ,Public,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Always,3.25 - 3.49
21-23 years,Male,In a love relationship,Educational Technology ,Public,College,College,Retired,Housewife,"<25,000Tk",1,Died-one of them or both,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Always,3.25 - 3.49
21-23 years,Male,Single,Educational Technology ,Public,College,College,Retired,Private Job,"<25,000Tk",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,Journalism And Media Communication ,Private,Primary School,Secondary School,Business,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Married,Cse,Private,Primary School,Primary School,Business,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,6-10Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Always,3.75 - 4.00
21-23 years,Male,Single,Management ,Others,B.A./B.Sc./Hons/Degree,Primary School,Govt. Service,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,Less than 1 Hour,Yes,Yes,Less than 60% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Always,2.75 - 2.99
21-23 years,Female,Married,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Tution,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,Textile Engineering ,Private,College,Secondary School,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Others,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,No,No,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,EdTech,Public,M.Sc/M.A.,M.Sc/M.A.,Self-employed,Self-employed,41000-55000TK,1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,"<25,000Tk",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,Others,2-5 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,educational Technology ,Public,B.A./B.Sc./Hons/Degree,Primary School,Self-employed,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,No,Yes,Others,Less than 1 Hour,Yes,Yes,60%-79% classes,Alone,Close date to exam,Never,Yes,No,Others,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,Mathematics ,Public,Primary School,Primary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Tution,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,IRE,Public,Primary School,Secondary School,Self-employed,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
18-20 years,Female,Single,Internet of things and Robotics Engineering ,Public,M.Sc/M.A.,M.Sc/M.A.,Private Job,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Not applicable,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,2.75 - 2.99
24-26 years,Female,Married,Accounting ,Others,Primary School,Primary School,Business,Self-employed,"<25,000Tk",2,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,Yes,With family,Less than 1 Hour,Yes,No,More than 80%class,Not applicable,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,EdTech,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Never,No,Yes,Others,Yes,Sometimes,3.50 - 3.74
24-26 years,Male,Married,Biochemistry and Molecular Biology ,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,">60,000",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Always,3.00 - 3.24
21-23 years,Male,Single,Internet of things and Robotics Engineering ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,Yes,60%-79% classes,Alone,Never,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Single,Anthropology ,Public,M.Sc/M.A.,College,Retired,Housewife,"<25,000Tk",2,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Female,Single,Pharmacy ,Private,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,With family,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Tution,No,Never,3.75 - 4.00
21-23 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,College,Govt. Service,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,No,No,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,M.Sc/M.A.,Private Job,Govt. Service,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,IRE,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Country Town,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
24-26 years,Male,Single,IoT & Robotics Engineering,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Always,3.50 - 3.74
Above 26,Female,Single,EdTech,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Govt. Service,Housewife,"56000-60,000",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.50 - 3.74
21-23 years,Female,In a love relationship,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Business,"26,000-40,000TK",1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Others,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Female,In a love relationship,EdTech,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,">60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Hospitality & tourism management ,Private,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,">60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,Yes,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Others,No,Sometimes,3.75 - 4.00
24-26 years,Male,Single,BBA,Private,Secondary School,Secondary School,Business,Housewife,"56000-60,000",1,Happily Married,Rural,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Never,3.25 - 3.49
24-26 years,Male,Single,CSE,Private,College,Secondary School,Retired,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Never,3.25 - 3.49
24-26 years,Male,Single,Pharmacy ,Private,Secondary School,Secondary School,Self-employed,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,Yes,Sometimes,3.25 - 3.49
24-26 years,Male,Single,ECE,Private,College,B.A./B.Sc./Hons/Degree,Business,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Mathematics ,Public,College,College,Business,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,Pharmacy ,Private,College,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Educational Technology ,Public,Primary School,Primary School,Business,Housewife,"26,000-40,000TK",3 or above,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Never,3.25 - 3.49
21-23 years,Male,Single,EDTech,Public,Secondary School,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Ed-Tech,Public,Secondary School,Secondary School,Self-employed,Self-employed,"<25,000Tk",1,Died-one of them or both,Rural,Rural,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Govt. Service,Govt. Service,41000-55000TK,3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,Ed-Tech,Public,Primary School,Secondary School,Self-employed,Housewife,"<25,000Tk",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Always,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
